,date,operation,quantity
0,2023-1-5,buy,12
1,2023-01-06,buy,12
2,2023-01-09,buy,12
3,2023-01-11,buy,12
4,2023-01-13,buy,12
5,2023-01-16,buy,12
6,2023-01-18,buy,12
7,2023-01-30,buy,12
8,2023-02-01,buy,12
9,2023-02-08,buy,12
10,2023-02-10,buy,20
11,2023-02-13,buy,12
12,2023-02-14,buy,12
13,2023-02-15,buy,12
14,2023-02-16,buy,12
15,2023-02-17,buy,12
16,2023-02-21,buy,12
17,2023-02-22,buy,12
18,2023-02-27,buy,12
19,2023-02-28,buy,12
20,2023-03-06,buy,12
21,2023-03-07,buy,12
22,2023-03-22,buy,103
23,2023-04-04,buy,12
